"10 Winthrop Street",m125,42.409542, -71.123507
"101 Talbot Avenue",m122,42.405945, -71.12187
"108 Bromfield Road",m144,42.404075, -71.116285
"108 Packard Avenue",m074,42.405775, -71.122946
"112 Packard Avenue",m103,42.405877, -71.122879
"12 Dearborn Road",m087,42.404839, -71.11618
"120 Packard Avenue",m104,42.406046, -71.122819
"126 Curtis Street",m093,42.407593, -71.124729
"128 Professors Row",m110,42.407272, -71.124095
"16-20 Sawyer Avenue",m148,42.406236, -71.123558
"176 Curtis Street",m098,42.409188, -71.123716
"177 College Avenue",m011,42.408211, -71.11687
"20 Professors Row",m106,42.405357, -71.118827
"200 Boston Avenue",r027,42.415965, -71.127259
"26 Winthrop Street",m013,42.410811, -71.12263
"28 Sawyer Avenue",m149,42.406391, -71.12378
"44 Teele Avenue",m123,42.405646, -71.125264
"48 Professors Row",m107,42.405886, -71.120304
"51 Winthrop Street",m193,42.410963, -71.121433
"55 Talbot Avenue",m120,42.405224, -71.119868
"80 George Street",m192,42.411784, -71.115494
"89-91 Curtis Street",m089,42.406244, -71.125192
"9-11 Sunset Road",m117,42.408724, -71.124437
"90-94 Curtis Street",m090,42.40644, -71.125544
"96 Packard Avenue",m174,42.405373, -71.123228
"97 Talbot Avenue",m147,42.405871, -71.121687
"Academic Computing Building",m145,42.404414, -71.120731
"Aidekman Arts Center",m019,42.404511, -71.119378
"Alpha Epsilon Pi",m137,42.406747, -71.122756
"Alpha Omicron Pi",m142,42.406132, -71.123882
"Alpha Phi",m111,42.406213, -71.123221
"Alpha Tau Omega",m136,42.407352, -71.124426
"Alumnae Hall",m019a,42.404738, -71.119188
"Alumni House",m041,42.405838, -71.121063
"Anderson Hall",m003,42.406101, -71.116957
"Anthony House",m056,42.405313, -71.11841
"Bacon Hall",m025,42.404898, -71.115171
"Balch Arena Theater",m019b,42.404483, -71.11926
"Ballou Hall",m029,42.407364, -71.120351
"Barnum Hall",m004,42.407528, -71.120945
"Baronian Field House",m162,42.403098, -71.119641
"Bartol House",m047,42.406559, -71.123302
"Bendetson Hall",m035,42.408097, -71.119889
"Blakeley Hall",m071,42.407942, -71.122703
"Blakeslee House",m065,42.407769, -71.124601
"Bolles House",m005,42.405062, -71.117717
"Braker Hall",m007,42.407306, -71.118229
"Bray Laboratory",m008,42.40554, -71.11558
"Bromfield House",m099,42.404824, -71.116363
"Bromfield-Pearson",m002,42.405399, -71.116568
"Brown & Brew",mbb,42.406815, -71.11658
"Bush Hall",m064,42.404987, -71.122006
"Cabot Intercultural Center",m151,42.407826, -71.121678
"Campus Bookstore",m033,42.405547, -71.12026
"Campus Center",m158,42.405547, -71.120259
"Capen House",m066,42.405312, -71.118072
"Carmichael Hall",m067,42.408935, -71.122951
"Carpenter House",m129,42.409383, -71.123707
"Central Heating Building",m063,42.407908, -71.118432
"Central Services",m085,42.405099, -71.115257
"Chandler House",m068,42.404721, -71.123619
"Chi Omega",m135,42.406798, -71.123002
"Cohen Auditorium",m019c,42.404526, -71.118938
"Costume Shop",m036,42.404664, -71.120144
"Cousens Gym",m031a,42.408773, -71.116541
"Curtis Hall",m039,42.40695, -71.116557
"Dana Laboratory",m001,42.407684, -71.121103
"Davies House",m069,42.406461, -71.123036
"Dearborn House",m108,42.406258, -71.121483
"Delta Upsilon",m133,42.407007, -71.123508
"Dewick-MacPhie Dining Hall",m078,42.405166, -71.121693
"Dowling Hall",m023,42.408097, -71.118203
"East Hall",m038,42.407637, -71.118953
"Eaton Hall",m010,42.406717, -71.118808
"Eliot-Pearson Child Development Center",m012a,42.410136, -71.114747
"Eliot-Pearson Children's School",m012b,42.410033, -71.114592
"Fairmont House",m070,42.409956, -71.121335
"Fine Arts House",m118,42.404973, -71.118115
"Gantcher Center",m184,42.409588, -71.115559
"Gifford House",m045,42.407032, -71.121481
"Goddard Chapel",m042,42.406947, -71.119446
"Goddard Hall",m014,42.407478, -71.121479
"Granoff Family Hillel Center",m020,42.40933, -71.121051
"Hall House",m059,42.405465, -71.123165
"Halligan Hall",m026,42.408222, -71.116402
"Hallowell Hall",m155,42.408541, -71.119115
"Hamilton Pool",m031b,42.409002, -71.115874
"Haskell Hall",m054,42.40413, -71.122171
"Hayes House",m060,42.408372, -71.125109
"Health Service",m032,42.407049, -71.124003
"Hill Hall",m053,42.409466, -71.119819
"Hillside House",m061,42.404948, -71.117136
"Hillside Housing 1",m153,42.408971, -71.119227
"Hillside Housing 2",m154,42.408782, -71.119584
"Hodgdon Hall",m052,42.405214, -71.122139
"Houston Hall",m080,42.408424, -71.122535
"Interfaith Center",m189,42.411342, -71.122352
"Jackson Gym",m040,42.404749, -71.119731
"Lane Hall",m006,42.408994, -71.119804
"Latin Way Dormitory",m146,42.404132, -71.121545
"Leir Hall",m019d,42.404648, -71.118813
"Lewis Hall",m128,42.40481, -71.12296
"Lincoln Filene Center",m015,42.407299, -71.117891
"McCollester House",m072,42.410955, -71.124053
"MetCalf Hall",m073,42.40605, -71.121089
"Michael Laboratory",m016,42.40471, -71.12088
"Miller Hall",m077,42.409189, -71.121743
"Milne House",m046,42.405608, -71.123345
"Miner Hall",m017,42.406428, -71.117988
"Mugar Hall",m018,42.407799, -71.122504
"Office Services",m084,42.407945, -71.116706
"Olin Center",m086,42.408149, -71.121448
"Packard Hall",m034,42.407848, -71.119485
"Paige Hall",m027,42.406685, -71.117584
"Pearson Chemical Laboratory",m009,42.404922, -71.120766
"Perry and Marty Granoff Music Center",m195,42.404313, -71.118605
"Psychology Building",m021,42.406126, -71.116024
"Remis Sculpture Court",m019e,42.404561, -71.11866
"Richardson House",m051,42.405475, -71.119307
"Robinson Hall",m022,42.405689, -71.117175
"Sawyer House",m049,42.407286, -71.124895
"Scene Shop",m025b,42.405125, -71.115191
"Schmalz House",m050,42.405867, -71.123172
"Science and Technology Center",m028,42.403363, -71.113225
"Sigma Nu",m109,42.40664, -71.122469
"Sigma Phi Epsilon",m132,42.407128, -71.125067
"Sophia Gordon Hall",m196,42.405227, -71.118723
"South Hall",m043,42.40353, -71.120542
"Start House",m081,42.405639, -71.120994
"Stratton Hall",m048,42.405102, -71.119459
"TAB",m030,42.402161, -71.124896
"Theta Chi",m138,42.405572, -71.12313
"Theta Delta Chi",z003,42.406191, -71.121892
"Tilton Hall",m062,42.404461, -71.122441
"Tisch Library",m024,42.405866, -71.118749
"Tousey House",m057,42.410433, -71.123949
"West Hall",m037,42.408226, -71.12053
"William A. Shoemaker Boathouse at Tufts University",m197,42.410668, -71.073947
"Wilson House",m075,42.407882, -71.124742
"Wren Hall",m055,42.409493, -71.121548
"Wyeth House",m076,42.405928, -71.123338
"Zeta Beta Tau",m105,42.40636, -71.122598
"Zeta Psi",m139,42.406367, -71.121896